PhotoID,Depth,PhotoArea,Year
CA2010_110_01,110,0.86,2010
CA2010_110_02,110,1.051,2010
CA2010_110_03,110,0.863,2010
CA2010_110_04,110,0.651,2010
CA2010_110_05,110,1.493,2010
CA2010_110_06,110,1.478,2010
CA2010_110_07,110,1.591,2010
CA2010_110_08,110,1.145,2010
CA2010_130_01,130,2.341,2010
CA2010_130_02,130
CA2010_130_03,130,1.226,2010
CA2010_130_04,130,3.42,2010
CA2010_130_05,130,3.673,2010
CA2010_130_06,130,1.064,2010
CA2010_130_07,130,1.779,2010
CA2010_130_08,130,2.086,2010
CA2010_140_01,140,2.489,2010
CA2010_140_02,140,2.904,2010
CA2010_140_03,140,2.991,2010
CA2010_140_04,140,3.149,2010
CA2010_140_05,140,4.546,2010
CA2010_140_06,140,3.128,2010
CA2010_140_07,140,1.97,2010
CA2010_140_08,140,3.56,2010
CA2010_140_09,140,2.446,2010
CA2010_140_10,140
CA2010_140_11,140,2.032,2010
CA2010_150_01,150,2.523,2010
CA2010_150_02,150,1.397,2010
CA2010_150_03,150,0.979,2010
CA2010_150_04,150,1.694,2010
CA2010_150_05,150,2.08,2010
CA2010_150_06
CA2010_150_07,150,3.35,2010
CA2010_150_08,150,2.782,2010
CA2010_150_09,150,2.383,2010
CA2010_150_10,150,1.575,2010
CA2010_160_01,160,1.023,2010
CA2010_160_02,160,1.571,2010
CA2010_160_03,160,0.694,2010
CA2010_160_04,160,1.898,2010
CA2010_160_05,160,1.783,2010
CA2010_160_06,160,1.94,2010
CA2010_160_07,160,1.33,2010
CA2010_160_08,160,0.949,2010
CA2010_160_09,160,1.547,2010
CA2010_160_10,160,1.653,2010
CA2010_170_01,170,1.714,2010
CA2010_170_02,170,2.267,2010
CA2010_170_03,170,2.533,2010
CA2010_170_04,170,3.1,2010
CA2010_180_01,180,2.835,2010
CA2010_180_02,180,2.114,2010
CA2010_180_03,180,2.174,2010
CA2010_180_04,180,1.759,2010
CA2010_180_05,180,3.763,2010
CA2010_180_06,180,1.832,2010
CA2010_180_07,180,2.244,2010
CA2010_190_01,190,1.638,2010
CA2010_190_02,190,2.151,2010
CA2010_190_03,190,2.012,2010
CA2010_190_04,190,4.076,2010
CA2010_190_05,190,2.801,2010
CA2010_190_06,190,2.33,2010
CA2010_190_07,190,1.721,2010
CA2010_190_08,190,1.503,2010
CA2010_190_09,190,2.988,2010
CA2010_200_01,200,1.938,2010
CA2010_200_02,200,4.123,2010
CA2010_200_03,200,3.005,2010
CA2010_200_04,200,3.536,2010
CA2010_200_05,200,3.511,2010
CA2010_200_06,200,4.231,2010
CA2010_200_07,200,5.967,2010
CA2010_200_08,200,4.187,2010
CA2010_200_09,200,3.645,2010
CA2010_200_10,200,1.481,2010
CA2010_210_01,210,0.712,2010
CA2010_210_02,210,1.221,2010
CA2010_210_03,210,3.23,2010
CA2010_220_01,220,0.542,2010
CA2010_230_01,230,0.623,2010
CA2010_230_02,230,1.071,2010
CA2010_230_03,230,1.422,2010
CA2010_240_01,240,1.947,2010
CA2010_240_02,240,1.682,2010
CA2010_240_03,240,0.37,2010
CA2010_240_04,240,2.65,2010
CA2010_240_05,240,2.106,2010
CA2010_240_06,240,3.755,2010
CA2010_250_01,250,0.554,2010
CA2010_260_01,260,0.974,2010
CA2010_260_02,260,1.45,2010
CA2010_260_03,260,1.956,2010
CA2010_270_01,270,3.144,2010
CA2010_270_02,270,2.797,2010
CA2010_270_03,270,0.816,2010
CA2010_280_01,270,1.139,2010
CA2010_280_02,280,1.133,2010
CA2010_280_03,280,2.808,2010
CA2010_290_01,290,0.672,2010
CA2010_290_02,290,4.46,2010
CA2010_290_03,290,3.886,2010
CA2010_300_01,300,0.815,2010
CA2010_300_02,300,1.402,2010
CA2010_310_01,310,2.026,2010
CA2010_310_02,310,1.726,2010
CA2010_310_03,310,0.749,2010
CA2010_320_01,320,1.738,2010
CA2010_320_02,320,1.551,2010
CA2010_320_03,320,0.686,2010
CA2010_330_01,330,1.3,2010
CA2010_330_02,330,1.879,2010
CA2010_330_03,330,1.244,2010
CA68_110_01,110,5.397,1968
CA68_110_02,110,5.463,1968
CA68_110_03,110,5.087,1968
CA68_110_04,110,6.047,1968
CA68_110_05,110,4.788,1968
CA68_110_06,110,4.615,1968
CA68_110_07,110,5.289,1968
CA68_110_08,110,4.149,1968
CA68_110_09,110,4.257,1968
CA68_110_10,110,4.158,1968
CA68_120_01,120,5.556,1968
CA68_120_02,120,3.691,1968
CA68_120_03,120,5.413,1968
CA68_120_04,120,3.212,1968
CA68_120_05,120,5.119,1968
CA68_120_06,120,3.633,1968
CA68_120_07,120,3.873,1968
CA68_120_08,120,4.303,1968
CA68_120_09,120,4.427,1968
CA68_120_10,120,4.722,1968
CA68_130_01,130,3.009,1968
CA68_130_02,130,4.93,1968
CA68_130_03,130,3.839,1968
CA68_130_04,130,4.242,1968
CA68_130_05,130,6.009,1968
CA68_130_06,130,5.882,1968
CA68_130_07,130,5.074,1968
CA68_130_08,130,4.737,1968
CA68_130_09,130,3.611,1968
CA68_130_10,130,2.789,1968
CA68_130_11,130,2.51,1968
CA68_130_12,130,1.897,1968
CA68_130_13,130,2.127,1968
CA68_130_14,130,1.669,1968
CA68_130_15,130,1.807,1968
CA68_130_16,130,2.226,1968
CA68_130_17,130,2.473,1968
CA68_140_01,140,2.209,1968
CA68_140_02,140,1.74,1968
CA68_140_03,140,1.221,1968
CA68_140_04,140,2.431,1968
CA68_140_05,140,1.781,1968
CA68_140_06,140,1.403,1968
CA68_140_07,140,1.002,1968
CA68_140_08,140,1.67,1968
CA68_140_09,140,2.139,1968
CA68_140_10,140,2.191,1968
CA68_140_11,140,2.604,1968
CA68_140_12,140,1.703,1968
CA68_140_13,140,3.779,1968
CA68_140_14,140,2.406,1968
CA68_140_15,140,2.477,1968
CA68_140_16,140,2.843,1968
CA68_140_17,140,2.967,1968
CA68_140_18,140,2.948,1968
CA68_140_19,140,2.927,1968
CA68_140_20,140,2.719,1968
CA68_140_21,140,3.542,1968
CA68_140_22,140,3.113,1968
CA68_140_23,140,2.611,1968
CA68_140_24,140,2.215,1968
CA68_140_25,140,2.301,1968
CA68_140_26,140,2.343,1968
CA68_140_27,140,2.242,1968
CA68_140_28,140,2.566,1968
CA68_140_29,140,2.18,1968
CA68_140_30,140,2.276,1968
CA68_140_31,140,2.541,1968
CA68_140_32,140,3.687,1968
CA68_150_01,150,1.559,1968
CA68_150_02,150,2.239,1968
CA68_150_03,150,2.262,1968
CA68_150_04,150,3.518,1968
CA68_150_05,150,2.22,1968
CA68_150_06,150,2.118,1968
CA68_150_07,150,2.007,1968
CA68_150_08,150,2.158,1968
CA68_150_09,150,2.123,1968
CA68_150_10,150,3.035,1968
CA68_150_11,150,1.893,1968
CA68_150_12,150,2.144,1968
CA68_150_13,150,5.069,1968
CA68_150_14,150,3.545,1968
CA68_150_15,150,2.931,1968
CA68_150_16,150,3.093,1968
CA68_150_17,150,2.87,1968
CA68_150_18,150,2.763,1968
CA68_150_19,150,2.992,1968
CA68_150_20,150,2.833,1968
CA68_150_21,150,4.533,1968
CA68_150_22,150,2.297,1968
CA68_150_23,150,1.978,1968
CA68_150_24,150,2.397,1968
CA68_150_25,150,1.896,1968
CA68_150_26,150,2.255,1968
CA68_150_27,150,2.333,1968
CA68_150_28,150,2.138,1968
CA68_150_29,150,1.931,1968
CA68_150_30,150,2.228,1968
CA68_150_31,150,2.158,1968
CA68_150_32,150,2.72,1968
CA68_150_33,150,2.783,1968
CA68_150_34,150,3.433,1968
CA68_150_35,150,3.486,1968
CA68_160_01,160,1.136,1968
CA68_160_02,160,3.487,1968
CA68_160_03,160,3.468,1968
CA68_160_04,160,2.119,1968
CA68_160_05,160,3.388,1968
CA68_160_06,160,2.418,1968
CA68_160_07,160,2.885,1968
CA68_160_08,160,4.514,1968
CA68_160_09,160,2.555,1968
CA68_160_10,160,3.4,1968
CA68_160_11,160,3.105,1968
CA68_160_12,160,2.033,1968
CA68_160_13,160,4.08,1968
CA68_160_14,160,3.558,1968
CA68_160_15,160,2.917,1968
CA68_160_16,160,2.245,1968
CA68_160_17,160,2.644,1968
CA68_160_18,160,1.343,1968
CA68_160_19,160,2.277,1968
CA68_160_20,160,2.262,1968
CA68_160_21,160,2.615,1968
CA68_180_01,180,1.338,1968
CA68_180_02,180,4.085,1968
CA68_180_03,180,2.894,1968
CA68_180_04,180,1.065,1968
CA68_180_05,180,3.142,1968
CA68_180_06,180,2.37,1968
CA68_180_07,180,3.293,1968
CA68_180_08,180,2.51,1968
CA68_180_09,180,2.415,1968
CA68_180_10,180,3.393,1968
